energy,T1_Fe.txt,T2_Fe.txt,T3_Fe.txt,T4_Fe.txt,T5_Fe.txt,energy,T1_F.txt,T2_F.txt,T3_F.txt,T4_F.txt,T5_F.txt,energy,T1_O.txt,T2_O.txt,T3_O.txt,T4_O.txt,T5_O.txt,energy,T1_C.txt,T2_C.txt,T3_C.txt,T4_C.txt,T5_C.txt
711.4,2.37244,1.77667,1.44867,1.25771,1.26986,698.7,1.12744,1.02071,1.16858,1.34062,1.2246,545.4,1.18211,1.22644,1.62785,1.66657,1.61694,298.7,2.46107,2.2956,2.46529,2.47608,2.49895
711.5,2.41278,1.95133,1.50844,1.33853,1.24,699,1.20794,1.0319,1.15846,1.27624,1.23153,545.6,1.15767,1.25833,1.623,1.61157,1.58741,299,2.45473,2.24288,2.37979,2.42354,2.4381
711.8,2.46744,1.789,1.34833,1.25965,1.24414,699.3,1.16288,1.017,1.17588,1.23319,1.20907,545.8,1.12478,1.20174,1.55823,1.60114,1.58541,300,2.47177,2.19024,2.37936,2.46723,2.4348
712.1,2.33522,1.69667,1.31589,1.231,1.20971,699.6,1.17394,1.00048,1.14562,1.26833,1.22807,546,1.16844,1.19511,1.54169,1.69457,1.64782,301,2.43267,2.23716,2.41246,2.44608,2.40975
712.4,2.33667,1.70793,1.35911,1.25906,1.21829,699.9,1.1505,1.00738,1.16646,1.2439,1.222,547,1.13839,1.22981,1.63423,1.64143,1.60376,302,2.50837,2.16416,2.33432,2.39331,2.3972
712.7,2.38689,1.71693,1.36078,1.30029,1.23843,700.2,1.14931,1.05295,1.13362,1.2369,1.24167,548,1.16756,1.2227,1.53638,1.67457,1.61206,303,2.37037,2.14652,2.38414,2.38415,2.38235
713,2.25167,1.5486,1.31411,1.266,1.17443,700.5,1.17956,1.0651,1.14177,1.28038,1.26207,549,1.18678,1.28978,1.65454,1.67286,1.64182,304,2.37107,2.1744,2.39039,2.34569,2.2713
713.3,2.31422,1.656,1.38556,1.26582,1.17129,700.8,1.15925,1.04381,1.11546,1.25867,1.25967,550,1.18689,1.16837,1.57723,1.63843,1.60618,305,2.2886,1.85824,2.18279,2.18277,2.1899
713.6,2.38156,1.6002,1.32167,1.24141,1.18829,701.1,1.137,1.02695,1.16258,1.26919,1.21927,-0.05171,,,,,,306,2.33513,1.89772,2.19439,2.24269,2.26445
713.9,2.29722,1.45367,1.31922,1.24082,1.22643,701.4,1.18281,1.05305,1.12146,1.2759,1.23533,-0.01357,,,,,,307,2.13567,1.78136,2.128,2.20546,2.177
714.2,2.29567,1.48713,1.29622,1.27559,1.182,701.7,1.18869,1.05405,1.11508,1.26743,1.2474,-0.058,,,,,,308,2.24653,1.86672,2.18186,2.164,2.1436
714.5,2.11933,1.36487,1.27667,1.21412,1.19129,702,1.12637,0.983762,1.12027,1.227,1.252,-0.04871,,,,,,309,2.12947,1.87544,2.12079,2.056,2.01235
714.8,2.22789,1.427,1.27711,1.22894,1.26857,702.3,1.17469,1.03971,1.13996,1.27286,1.24307,0.02857,,,,,,310,1.9392,1.5646,1.86057,1.95431,1.93055
715.1,2.28378,1.34367,1.20489,1.22135,1.21014,702.6,1.17581,1.03119,1.13677,1.25452,1.2354,-0.02986,,,,,,,,,,,
715.4,2.16422,1.3744,1.23244,1.26176,1.19514,702.9,1.19169,1.03743,1.10373,1.28362,1.21267,-0.04486,,,,,,,,,,,
715.7,2.22311,1.30467,1.19044,1.24529,1.25029,703.2,1.29469,1.07814,1.15719,1.29067,1.22973,0.01029,,,,,,,,,,,
716,2.22022,1.40933,1.22544,1.20906,1.2,703.5,1.22487,0.990429,1.14362,1.27405,1.22887,-0.04,,,,,,,,,,,
716.1,2.13389,1.2986,1.24833,1.25853,1.15714,703.8,1.21019,1.07757,1.11962,1.24181,1.23553,-0.08286,,,,,,,,,,,
716.2,2.20244,1.42027,1.20667,1.27818,1.24429,704.1,1.22925,1.06057,1.07342,1.24224,1.25067,0.00429,,,,,,,,,,,
